TOA5,CR6Series,CR6,3767,51073,3767
TIMESTAMP,RECORD,AirTC_Avg,RH,PotSlrW_Avg,WS_ms_S_WVT
TS,RN,Deg C,%,W/m^2,meters/second
,,Avg,Smp,Avg,WVc
7/22/2018 13:00,217,24.12,66.85,-518.3,0.626
7/22/2018 14:00,218,24.67,67.05,-634.5,0.787
7/22/2018 15:00,219,25.58,63.33,-686.8,0.513
7/22/2018 16:00,220,25.79,62.93,-671.8,0.289
7/22/2018 17:00,221,20.05,99.9,-590.3,0.832
7/22/2018 18:00,222,19.45,98.2,-448.1,0.525
7/22/2018 19:00,223,20.34,99,-254.5,0.278
7/22/2018 20:00,224,20.25,97.6,-18.92,0.535
7/22/2018 21:00,225,19.72,100,231.6,0.255
7/22/2018 22:00,226,19.28,99.5,488.4,0.341
7/22/2018 23:00,227,19.06,98.3,733.5,0.616
7/23/2018 0:00,228,18.77,95.1,949,0.142
7/23/2018 1:00,229,18.94,94.6,1121,0.16
7/23/2018 2:00,230,19.02,89.8,1237,0.082
7/23/2018 3:00,231,19.59,94.1,1289,0.159
7/23/2018 4:00,232,19.24,91.3,1274,0.046
7/23/2018 5:00,233,19.6,90.5,1192,0.112
7/23/2018 6:00,234,19.23,93.6,1050,0.464
7/23/2018 7:00,235,19.52,98.8,856,0.396
7/23/2018 8:00,236,20.21,84.1,625.1,0.406
7/23/2018 9:00,237,22.43,85.3,372,0.316
7/23/2018 10:00,238,23.69,77.33,117,0.334
7/23/2018 11:00,239,25.05,68.48,-131.7,0.472
7/23/2018 12:00,240,25.42,78.71,-349.8,0.521
7/23/2018 13:00,241,25.3,64.88,-522.2,0.498
7/23/2018 14:00,242,26.82,68.24,-638.6,0.664
7/23/2018 15:00,243,27.88,61.15,-691,0.922
7/23/2018 16:00,244,27.18,73.28,-676,1.028
7/23/2018 17:00,245,25.25,63.55,-594.5,1.37
7/23/2018 18:00,246,27.24,62.08,-452.1,0.585
7/23/2018 19:00,247,27.18,69.88,-258.2,0.604
7/23/2018 20:00,248,25.39,74.57,-22.45,0.764
7/23/2018 21:00,249,24.59,84.6,228.4,0.127
7/23/2018 22:00,250,23.1,78.7,485.6,0.743
7/23/2018 23:00,251,22.58,80.3,731,0.43
7/24/2018 0:00,252,22.22,81.9,947,0.702
7/24/2018 1:00,253,21.99,81.4,1119,0.756
7/24/2018 2:00,254,21.55,83.6,1235,0.775
7/24/2018 3:00,255,21.25,85.3,1287,0.6
7/24/2018 4:00,256,21,83.8,1272,0.658
7/24/2018 5:00,257,21.35,83.2,1190,0.73
7/24/2018 6:00,258,21.1,84.2,1048,0.347
7/24/2018 7:00,259,20.82,86.5,854,0.602
7/24/2018 8:00,260,21.07,83.7,622.6,0.888
7/24/2018 9:00,261,22.5,75.67,369.2,0.569
7/24/2018 10:00,262,24.04,77.69,113.9,0.385
7/24/2018 11:00,263,25.78,67.58,-135.4,0.594
7/24/2018 12:00,264,26.9,70.56,-353.6,0.584
7/24/2018 13:00,265,26.92,65.33,-526.3,0.646
7/24/2018 14:00,266,27.36,58.85,-642.8,0.6
7/24/2018 15:00,267,26.89,73.52,-695.3,0.837
7/24/2018 16:00,268,26.49,65.27,-680.3,0.889
7/24/2018 17:00,269,25.01,73.25,-598.7,0.941
7/24/2018 18:00,270,22.02,98.5,-456.1,0.501
7/24/2018 19:00,271,22.11,98.2,-262.1,0.321
7/24/2018 20:00,272,22.74,99.5,-26.04,0.03
7/24/2018 21:00,273,22.3,100,225.3,0.276
7/24/2018 22:00,274,22,100,482.8,0.32
7/24/2018 23:00,275,21.72,100,728.5,0.252
7/25/2018 0:00,276,21.27,100,945,0.142
7/25/2018 1:00,277,20.94,100,1117,0.131
7/25/2018 2:00,278,20.69,100,1233,0.006
7/25/2018 3:00,279,20.53,100,1286,0.016
7/25/2018 4:00,280,20.17,100,1270,0.096
7/25/2018 5:00,281,20.09,100,1189,0.073
7/25/2018 6:00,282,20.09,100,1046,0.175
7/25/2018 7:00,283,20.26,100,852,0.107
7/25/2018 8:00,284,20.27,100,620,0.355
7/25/2018 9:00,285,20.4,100,366.3,0.665
7/25/2018 10:00,286,21.27,96.7,110.8,0.453
7/25/2018 11:00,287,21.92,89.1,-139.1,0.651
7/25/2018 12:00,288,23.13,85.1,-357.5,0.742
7/25/2018 13:00,289,23.51,80.7,-530.5,0.879
7/25/2018 14:00,290,23.41,95.5,-647.2,0.958
7/25/2018 15:00,291,21.93,96.2,-699.8,0.427
7/25/2018 16:00,292,22.93,89,-684.7,0.533
7/25/2018 17:00,293,23.52,89.2,-603.1,0.424
7/25/2018 18:00,294,24.49,80.9,-460.3,0.45
7/25/2018 19:00,295,22.62,90.1,-266,0.723
7/25/2018 20:00,296,22.47,94.2,-29.67,0.721
7/25/2018 21:00,297,20.71,96.9,222.1,0.355
7/25/2018 22:00,298,20.16,99.9,479.9,0.427
7/25/2018 23:00,299,19.95,100,725.9,0.34
7/26/2018 0:00,300,19.88,100,943,0.617
7/26/2018 1:00,301,19.55,100,1115,0.572
7/26/2018 2:00,302,19.5,100,1231,0.232
7/26/2018 3:00,303,19.48,100,1284,0.091
7/26/2018 4:00,304,19.25,100,1269,0.482
7/26/2018 5:00,305,18.92,100,1187,0.323
7/26/2018 6:00,306,18.55,100,1044,0.574
7/26/2018 7:00,307,18.35,100,850,0.366
7/26/2018 8:00,308,18.59,100,617.3,0.231
7/26/2018 9:00,309,19.65,95,363.2,0.466
7/26/2018 10:00,310,20.79,94.6,107.4,0.729
7/26/2018 11:00,311,21.46,88.8,-143,0.791
7/26/2018 12:00,312,22.82,80.1,-361.6,1.182
7/26/2018 13:00,313,24.74,75.1,-534.7,1.044
7/26/2018 14:00,314,25.27,65.82,-651.6,1.21
7/26/2018 15:00,315,26.39,62.03,-704.3,1.101
7/26/2018 16:00,316,26.57,60.06,-689.3,1.115
7/26/2018 17:00,317,27.65,56.11,-607.5,1.227
7/26/2018 18:00,318,27.35,63.29,-464.5,1.396
7/26/2018 19:00,319,25.96,64.56,-269.9,1.103
7/26/2018 20:00,320,24.8,71.28,-33.36,0.428
7/26/2018 21:00,321,23.29,83.2,218.8,0.109
7/26/2018 22:00,322,22.07,83.5,477,0.024
7/26/2018 23:00,323,21.49,85.1,723.4,0.053
7/27/2018 0:00,324,21.19,85.5,940,0.159
7/27/2018 1:00,325,20.93,85.1,1113,0.539
7/27/2018 2:00,326,20.88,85.8,1230,0.412
7/27/2018 3:00,327,20.78,85.7,1282,0.164
7/27/2018 4:00,328,20.59,85.2,1267,0.125
7/27/2018 5:00,329,20.56,86.4,1185,0.486
7/27/2018 6:00,330,19.76,89.6,1041,0.275
7/27/2018 7:00,331,19.41,94.3,847,0.064
7/27/2018 8:00,332,19.72,89.2,614.5,0.32
7/27/2018 9:00,333,21.15,91.4,360.1,0.396
7/27/2018 10:00,334,21.62,89.6,103.9,0.488
7/27/2018 11:00,335,21.91,82,-146.9,0.462
7/27/2018 12:00,336,22.17,93.6,-365.8,0.639
7/27/2018 13:00,337,21.73,95.2,-539.2,0.638
7/27/2018 14:00,338,21.47,97.2,-656.2,0.401
7/27/2018 15:00,339,22.48,90.3,-708.9,1.39
7/27/2018 16:00,340,23.23,76.51,-693.9,1.891
7/27/2018 17:00,341,25.07,70.56,-612,1.747
7/27/2018 18:00,342,25.2,65.71,-468.8,1.651
7/27/2018 19:00,343,25.05,71.53,-274,1.659
7/27/2018 20:00,344,23.58,73.7,-37.09,1.281
7/27/2018 21:00,345,22.75,75.78,215.5,0.972
7/27/2018 22:00,346,22.18,79.59,474,1.028
7/27/2018 23:00,347,21.45,73.28,720.7,0.919
7/28/2018 0:00,348,20.37,85.3,938,0.344
7/28/2018 1:00,349,19.04,89.6,1111,0.244
7/28/2018 2:00,350,18.22,88.4,1228,0.518
7/28/2018 3:00,351,17.88,87.9,1280,0.34
7/28/2018 4:00,352,17.18,93.7,1265,0.501
7/28/2018 5:00,353,16.68,91.3,1183,0.726
7/28/2018 6:00,354,16.4,90.7,1039,0.424
7/28/2018 7:00,355,16.4,96.2,844,0.29
7/28/2018 8:00,356,16.99,86.2,611.6,0.083
7/28/2018 9:00,357,19.23,78.91,356.8,0.46
7/28/2018 10:00,358,20.38,70.29,100.3,0.863
7/28/2018 11:00,359,21.99,64.95,-151,0.982
7/28/2018 12:00,360,22.84,56.63,-370.1,1.289
7/28/2018 13:00,361,23.19,64.13,-543.7,1.46
7/28/2018 14:00,362,23.57,63.94,-660.9,1.49
7/28/2018 15:00,363,23.81,59.68,-713.7,1.247
7/28/2018 16:00,364,24.96,55.97,-698.5,1.398
7/28/2018 17:00,365,24.73,55.32,-616.5,1.449
7/28/2018 18:00,366,24.28,52.17,-473.1,1.222
7/28/2018 19:00,367,23.99,53.86,-278,1.05
7/28/2018 20:00,368,22.18,60.88,-40.88,0.252
7/28/2018 21:00,369,21.32,62.62,212.2,0.101
7/28/2018 22:00,370,19.76,72.12,471,0.2
7/28/2018 23:00,371,18.39,86.1,718.1,0.537
7/29/2018 0:00,372,17.06,82.5,936,0.701
7/29/2018 1:00,373,17.04,80.5,1109,0.531
7/29/2018 2:00,374,16.42,85.6,1226,0.572
7/29/2018 3:00,375,15.99,91.1,1278,0.301
7/29/2018 4:00,376,15.28,90.1,1263,0.281
7/29/2018 5:00,377,15.26,94.9,1180,0.437
7/29/2018 6:00,378,14.3,97.6,1037,0.373
7/29/2018 7:00,379,14.43,95.7,842,0.211
7/29/2018 8:00,380,16.18,79.79,608.5,0.063
7/29/2018 9:00,381,18.35,78.27,353.4,0.286
7/29/2018 10:00,382,20.89,67.98,96.6,0.46
7/29/2018 11:00,383,23.23,55.48,-155.2,0.604
7/29/2018 12:00,384,24.02,48.12,-374.5,1.095
7/29/2018 13:00,385,24.79,52.27,-548.3,0.996
7/29/2018 14:00,386,25.04,49.97,-665.6,0.768
7/29/2018 15:00,387,25.01,50.57,-718.5,1.169
7/29/2018 16:00,388,25.66,46.04,-703.3,1.204
7/29/2018 17:00,389,26.08,43.56,-621.1,0.939
7/29/2018 18:00,390,26.27,43.83,-477.5,0.919
7/29/2018 19:00,391,26.95,45.31,-282.1,0.19
7/29/2018 20:00,392,25.72,44.85,-44.7,0.464
7/29/2018 21:00,393,22.92,65.89,208.9,0.295
7/29/2018 22:00,394,20.76,73.53,468,0.769
7/29/2018 23:00,395,20.06,73.52,715.4,0.424
7/30/2018 0:00,396,19.53,79.17,933,0.711
7/30/2018 1:00,397,19.52,80.6,1107,0.682
7/30/2018 2:00,398,19.52,83.3,1224,0.061
7/30/2018 3:00,399,19.14,85.5,1276,0.662
7/30/2018 4:00,400,19.3,84.7,1261,0.753
7/30/2018 5:00,401,19.03,88.7,1178,0.692
7/30/2018 6:00,402,19.37,85.5,1034,0.516
7/30/2018 7:00,403,19.39,85.8,839,0.544
7/30/2018 8:00,404,19.8,85.2,605.4,0.409
7/30/2018 9:00,405,20.72,82.9,349.9,0.202
7/30/2018 10:00,406,20.42,94,92.7,0.272
7/30/2018 11:00,407,19.41,100,-159.5,0.467
7/30/2018 12:00,408,19.15,100,-379.1,0.324
7/30/2018 13:00,409,18.81,100,-553.1,0.546
7/30/2018 14:00,410,18.88,98.3,-670.5,0.989
7/30/2018 15:00,411,19.33,93.3,-723.4,0.448
7/30/2018 16:00,412,21.28,75.28,-708.2,0.648
7/30/2018 17:00,413,23.46,71.13,-625.8,0.705
7/30/2018 18:00,414,23.86,67.82,-482,0.651
7/30/2018 19:00,415,22.95,74.75,-286.3,0.498
7/30/2018 20:00,416,22.8,81.4,-48.57,0.61
7/30/2018 21:00,417,20.65,86.9,205.5,0.304
7/30/2018 22:00,418,19.36,88.9,464.9,0.689
7/30/2018 23:00,419,18.75,86.9,712.6,0.895
7/31/2018 0:00,420,18.6,87,931,0.846
7/31/2018 1:00,421,18.46,87,1104,0.646
7/31/2018 2:00,422,18.46,84.3,1221,0.415
7/31/2018 3:00,423,18.39,84.1,1274,0.085
7/31/2018 4:00,424,18.29,86.3,1258,0.312
7/31/2018 5:00,425,18.3,86.5,1176,0.058
7/31/2018 6:00,426,18.1,90,1032,0.498
7/31/2018 7:00,427,18.01,88.1,836,0.124
7/31/2018 8:00,428,18.33,88.4,602.1,0.36
7/31/2018 9:00,429,19.97,87.5,346.2,0.303
7/31/2018 10:00,430,22.48,69.13,88.7,0.513
7/31/2018 11:00,431,24.12,80.1,-164,0.574
7/31/2018 12:00,432,26.11,65.38,-383.7,0.759
7/31/2018 13:00,433,27.69,66.4,-558,0.832
7/31/2018 14:00,434,28.78,65.33,-675.5,0.775
7/31/2018 15:00,435,24.96,100,-728.4,0.856
7/31/2018 16:00,436,20.26,100,-713.1,1.437
7/31/2018 17:00,437,20.26,99.6,-630.6,0.715
7/31/2018 18:00,438,20.15,100,-486.5,0.62
7/31/2018 19:00,439,19.56,100,-290.5,0.703
7/31/2018 20:00,440,19.54,98.6,-52.48,0.849
7/31/2018 21:00,441,19.41,96.6,202.1,0.757
7/31/2018 22:00,442,19.24,96.6,461.8,0.649
7/31/2018 23:00,443,19.3,93.8,709.9,0.321
8/1/2018 0:00,444,19.03,90.5,928,0.422
8/1/2018 1:00,445,19.41,90.1,1102,0.443
8/1/2018 2:00,446,19.63,95.3,1219,0.447
8/1/2018 3:00,447,19.12,96.8,1272,0.423
8/1/2018 4:00,448,19.78,96.9,1256,0.508
8/1/2018 5:00,449,18.92,94.6,1173,0.42
8/1/2018 6:00,450,20.34,88.8,1029,0.168
8/1/2018 7:00,451,19.98,93.4,833,0.508
8/1/2018 8:00,452,19.39,100,598.7,0.647
8/1/2018 9:00,453,19.57,100,342.5,0.549
8/1/2018 10:00,454,20.42,96.8,84.6,0.3
8/1/2018 11:00,455,21.69,95.6,-168.5,0.63
8/1/2018 12:00,456,21.98,93.9,-388.5,0.671
8/1/2018 13:00,457,23.64,82.6,-562.9,0.905
8/1/2018 14:00,458,24.65,77.31,-680.6,0.939
8/1/2018 15:00,459,23.13,91.8,-733.5,0.963
8/1/2018 16:00,460,23.41,82.3,-718.1,0.921
8/1/2018 17:00,461,23.79,86.1,-635.4,0.986
8/1/2018 18:00,462,22.96,86.5,-491.1,1.692
8/1/2018 19:00,463,22.52,85.5,-294.8,1.435
8/1/2018 20:00,464,21.45,84.1,-56.43,1.703
8/1/2018 21:00,465,20.5,92.5,198.6,0.829
8/1/2018 22:00,466,20.02,90.5,458.7,0.38
8/1/2018 23:00,467,19.6,98.1,707.1,0.142
8/2/2018 0:00,468,19.29,98.8,926,0.317
8/2/2018 1:00,469,19.08,98.9,1100,0.348
8/2/2018 2:00,470,18.98,100,1217,0.28
8/2/2018 3:00,471,18.72,100,1270,0.485
